Genes	description
Gm10112	developmental pluripotency associated 5 pseudogene
Gm12890	NA
Gm17231	NA
Pld2	phospholipase D2
Zfp513	zinc finger protein 513
Olfr339	NA
Gm15365	predicted gene 15365
Gm25711	predicted gene, 25711
Gm8369	predicted gene 8369
Mthfr	methylenetetrahydrofolate reductase
AC121131.1	NA
Gm8922	NA
Zfp420	zinc finger protein 420
Gabrr3	gamma-aminobutyric acid type A receptor subunit rho 3
Ccdc70	coiled-coil domain containing 70
AL591209.1	NA
Polr2d	polymerase (RNA) II (DNA directed) polypeptide D
Pir	pirin
Cpn1	carboxypeptidase N, polypeptide 1
Mir709	microRNA 709
Gm13755	60S ribosomal protein L36a-like
Gm22130	predicted gene, 22130
Nsun4	NOL1/NOP2/Sun domain family, member 4
Ptgfr	prostaglandin F receptor
Gm15914	NA
Gpbp1	GC-rich promoter binding protein 1
Gm4852	DnaJ (Hsp40) homolog, subfamily B, member 6 pseudogene
Ctnnd1	catenin delta 1
2310001K24Rik	RIKEN cDNA 2310001K24 gene
RP23-220D12.12	NA
Gm13577	NA
Gm11919	ribosomal protein S6 pseudogene
Sod3	superoxide dismutase 3, extracellular
Herpud1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
Zhx3	zinc fingers and homeoboxes 3
Htra4	HtrA serine peptidase 4
Dnajc4	DnaJ heat shock protein family (Hsp40) member C4
Slc25a14	solute carrier family 25 (mitochondrial carrier, brain), member 14
Myt1l	myelin transcription factor 1-like
D630032N06Rik	NA
Ccser2	coiled-coil serine rich 2
Gm5903	ring finger and WD repeat domain 3 pseudogene
Elovl3	ELOVL fatty acid elongase 3
Gm15802	predicted gene 15802
Grxcr1	glutaredoxin, cysteine rich 1
Olfr418-ps1	NA
Gm24627	NA
Smarca4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
Gm6285	predicted gene 6285
Gm16302	NA
Hspa12b	heat shock protein 12B
Pot1a	protection of telomeres 1A
Gm15930	NA
Gm13206	NA
Gm12434	NA
Lce1f	late cornified envelope 1F
Szt2	SZT2 subunit of KICSTOR complex
Gm15554	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Nop58	NOP58 ribonucleoprotein
Nkx2-5	NK2 homeobox 5
Tmem18	transmembrane protein 18
E2f6	E2F transcription factor 6
Tas2r139	taste receptor, type 2, member 139
Igkv8-16	immunoglobulin kappa variable 8-16
Fam46b	NA
Fbxo36	F-box protein 36
MEG8_1	NA
Gm23770	NA
Gm17638	predicted gene, 17638
Defb45	defensin beta 45
Creb3l1	cAMP responsive element binding protein 3-like 1
Krtap5-1	keratin associated protein 5-1
Gm26635	NA
Olfr48	NA
Gm5105	predicted gene 5105
Cd46	CD46 antigen, complement regulatory protein
Gm12461	eukaryotic translation elongation factor 1 gamma pseudogene
Gm10312	predicted gene 10312
Wnt3a	wingless-type MMTV integration site family, member 3A
Acad9	acyl-Coenzyme A dehydrogenase family, member 9
Gm23699	predicted gene, 23699
Olfr506	NA
Mcee	methylmalonyl CoA epimerase
Thpo	thrombopoietin
Gm24030	predicted gene, 24030
Olfr402	NA
Gpr37	G protein-coupled receptor 37
Olfr1445	NA
Gm14999	presenilin associated, rhomboid-like pseudogene
Msln	mesothelin
Ubqln1	ubiquilin 1
Uba5	ubiquitin-like modifier activating enzyme 5
Rpf2	ribosome production factor 2 homolog
Ctgf	NA
Zswim8	zinc finger SWIM-type containing 8
Gm11550	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Fam187b	family with sequence similarity 187, member B
Gm15189	heat shock protein 90 alpha (cytosolic), class B member 1 pseudogene
Gm13563	NA
Dhtkd1	dehydrogenase E1 and transketolase domain containing 1
Bpifb1	BPI fold containing family B, member 1
Mag	myelin-associated glycoprotein
Gm25922	predicted gene, 25922
Sssca1	NA
Gm12295	predicted gene 12295
Rbm10	RNA binding motif protein 10
Gm26246	predicted gene, 26246
Gm23314	NA
Gm26909	NA
Impad1	NA
Gm25000	NA
Atp6v0e2	ATPase, H+ transporting, lysosomal V0 subunit E2
Gm12721	predicted gene 12721
Spin4	spindlin family, member 4
Gm13440	NA
Gm12349	predicted gene 12349
Cr2	complement receptor 2
Gm25427	NA
CCL27	NA
Gm26756	predicted gene, 26756
Gm3765	PWP1 homolog pseudogene
Snip1	Smad nuclear interacting protein 1
mmu-mir-7082	NA
Scarb2	scavenger receptor class B, member 2
Gm22626	NA
Cma2	chymase 2, mast cell
Gm10840	predicted gene 10840
Gm11583	predicted gene 11583
Clec1b	C-type lectin domain family 1, member b
Vmn1r174	vomeronasal 1 receptor 174
Bet1	Bet1 golgi vesicular membrane trafficking protein
Gm16759	predicted gene, 16759
Mir3094	microRNA 3094
Gm26067	NA
Retsat	retinol saturase (all trans retinol 13,14 reductase)
Gm15868	NA
RP23-13G1.6	NA
Gm22506	predicted gene, 22506
Gramd1c	GRAM domain containing 1C
Olfr943	NA
Mgat4a	mannoside acetylglucosaminyltransferase 4, isoenzyme A
Adam30	a disintegrin and metallopeptidase domain 30
Rnf8	ring finger protein 8
Gm14149	predicted gene 14149
Clca2	chloride channel accessory 2
Hemgn	hemogen
Olfr6	NA
Olfr139	NA
Gda	guanine deaminase
Prkar2b	protein kinase, cAMP dependent regulatory, type II beta
Gm12352	NA
uc_338	NA
Fev	FEV transcription factor, ETS family member
Gm9920	predicted gene 9920
Ano5	anoctamin 5
Pitpnb	phosphatidylinositol transfer protein, beta
Gm5396	predicted pseudogene 5396
Gm10799	NA
Gm25524	predicted gene, 25524
Gm25248	NA
Gm23795	predicted gene, 23795
Gm24121	predicted gene, 24121
AA415398	NA
Gm22457	NA
Sgip1	SH3-domain GRB2-like (endophilin) interacting protein 1
Mir467e	microRNA 467e
Gm9992	NA
Edem2	ER degradation enhancer, mannosidase alpha-like 2
Gm12147	NA
Gm9225	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Med4	mediator complex subunit 4
Olfr1081-ps1	NA
Irf1	interferon regulatory factor 1
1700060C16Rik	RIKEN cDNA 1700060C16 gene
Gm22435	NA
Psmc3	proteasome (prosome, macropain) 26S subunit, ATPase 3
Gm15276	NA
Sucnr1	succinate receptor 1
Fgf6	fibroblast growth factor 6
mt-Ty	NA
Gm12144	NA
Prss21	serine protease 21
Pnma3	paraneoplastic antigen MA3
Gm25571	NA
Metazoa_SRP	NA
Wbscr28	NA
Gm15182	NA
Rp31-ps19	ribosomal protein L31, pseudogene 19
Gm25097	predicted gene, 25097
Gm10263	40S ribosomal protein S28 pseudogene
Gm11695	predicted gene 11695
Gm15729	NA
Gm6169	NA
Enoph1	enolase-phosphatase 1
Mir19a	microRNA 19a
Cgrrf1	cell growth regulator with ring finger domain 1
Gm24649	NA
Lor	NA
Prss55	serine protease 55
Mir1936	microRNA 1936
Gm14871	NA
Gm24929	predicted gene, 24929
Dlgap5	DLG associated protein 5
Gm26906	NA
1700104B16Rik	RIKEN cDNA 1700104B16 gene
mt-Co1	NA
Gm17495	NA
Adck1	aarF domain containing kinase 1
Glrb	glycine receptor, beta subunit
Gm23296	predicted gene, 23296
Olfr267	NA
Szrd1	SUZ RNA binding domain containing 1
Vps28	vacuolar protein sorting 28
Gm24507	predicted gene, 24507
Scn2b	sodium channel, voltage-gated, type II, beta
Fam53a	family with sequence similarity 53, member A
mmu-mir-6954	NA
Gm23049	NA
Cr1l	complement C3b/C4b receptor 1 like
2610318N02Rik	RIKEN cDNA 2610318N02 gene
Ikbip	IKBKB interacting protein
Gm23179	NA
Daxx	Fas death domain-associated protein
Gm12886	predicted gene 12886
Gm23894	NA
Ago1	argonaute RISC catalytic subunit 1
Dld	dihydrolipoamide dehydrogenase
Rfx8	regulatory factor X 8
Kbtbd13	kelch repeat and BTB (POZ) domain containing 13
mt-Rnr1	s-rRNA
Gm26840	NA
Gm15458	predicted gene 15458
A530064D06Rik	RIKEN cDNA A530064D06 gene
Pi4ka	phosphatidylinositol 4-kinase alpha
Gm24197	NA
Tmed10	transmembrane p24 trafficking protein 10
Slx4ip	SLX4 interacting protein
Gm13874	NA
Gm8764	NA
Top1	topoisomerase (DNA) I
Gm23417	NA
Gm23902	predicted gene, 23902
Mrpl48	mitochondrial ribosomal protein L48
Nabp2	nucleic acid binding protein 2
Gm23271	predicted gene, 23271
6820408C15Rik	RIKEN cDNA 6820408C15 gene
Gm25453	predicted gene, 25453
Gm26950	NA
Mir134	microRNA 134
Gm26495	predicted gene, 26495
Ighv1-26	immunoglobulin heavy variable 1-26
Ccdc37	NA
Gm26264	predicted gene, 26264
Tacc2	transforming, acidic coiled-coil containing protein 2
Gm12534	NA
n-R5s217	NA
Olfr1049	NA
Vip	vasoactive intestinal polypeptide
Zfp213	zinc finger protein 213
Hcn2	hyperpolarization-activated, cyclic nucleotide-gated K+ 2
DLEU1_2	NA
Aes	NA
Gm4558	chromobox protein homolog 3 pseudogene
Zfp367	zinc finger protein 367
Wfdc3	WAP four-disulfide core domain 3
Olfr831-ps1	NA
Gm26077	predicted gene, 26077
Loxl2	lysyl oxidase-like 2
Syngap1	synaptic Ras GTPase activating protein 1 homolog (rat)
Gm21818	NA
Slc32a1	solute carrier family 32 (GABA vesicular transporter), member 1
Usp45	ubiquitin specific petidase 45
Robo2	roundabout guidance receptor 2
Olfr498	NA
Gm24634	NA
Mtap	methylthioadenosine phosphorylase
Zfp384	zinc finger protein 384
Myh7	myosin, heavy polypeptide 7, cardiac muscle, beta
Zfp703	zinc finger protein 703
Mylk3	myosin light chain kinase 3
Osmr	oncostatin M receptor
Gpn1	GPN-loop GTPase 1
Gm24359	NA
Fabp5l2	fatty acid binding protein 5-like 2
Gm11819	NA
Gm26768	NA
Rbm7	RNA binding motif protein 7
Vmn1r9	vomeronasal 1 receptor 9
Spata20	spermatogenesis associated 20
Olfr475-ps1	NA
Mthfd1l	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
CR974586.1	NA
Rpl21	ribosomal protein L21
Vmn2r-ps4	vomeronasal 2, receptor, pseudogene 4
Cyp3a16	cytochrome P450, family 3, subfamily a, polypeptide 16
Gm13567	40S ribosomal protein S21 pseudogene
Ighj1	immunoglobulin heavy joining 1
Ccdc167	coiled-coil domain containing 167
Adck3	NA
Arl4a	ADP-ribosylation factor-like 4A
Gm21750	NA
Ddx54	DEAD box helicase 54
Scrg1	scrapie responsive gene 1
Gm14416	predicted gene 14416
Gm8858	predicted gene 8858
Slc22a18	solute carrier family 22 (organic cation transporter), member 18
Gm8332	NA
Vmn2r-ps3	vomeronasal 2, receptor, pseudogene 3
Olfr937	NA
Slc10a3	solute carrier family 10 (sodium/bile acid cotransporter family), member 3
2210404O09Rik	NA
Csnk1g3	casein kinase 1, gamma 3
Ppp1r10	protein phosphatase 1, regulatory subunit 10
Gm8955	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Gm22132	NA
Gm11261	NA
9630033F20Rik	NA
Rnf32	ring finger protein 32
Snord12	small nucleolar RNA, C/D box 12
Gm20692	NA
Trav12n-2	T cell receptor alpha variable 12N-2
Nup210	nucleoporin 210
Ntn5	netrin 5
Calm2	calmodulin 2
Col6a3	collagen, type VI, alpha 3
Iffo2	intermediate filament family orphan 2
Gm11372	predicted gene 11372
Gm13473	NA
Gm22518	NA
Gm16322	predicted gene 16322
Gm10188	predicted gene 10188
Olfr988	NA
AL844604.1	NA
Gm13851	NA
Gm16128	ribosomal protein 10 pseudogene
Lmo3	LIM domain only 3
Gm16575	NA
Cyp2j11	cytochrome P450, family 2, subfamily j, polypeptide 11
Aig1	androgen-induced 1
Gm9752	predicted gene 9752
Bsph1	binder of sperm protein homolog 1
Gm3466	ribosomal protein L3 pseudogene
Gm22630	predicted gene, 22630
Gm11252	NA
Gm14159	NA
Hdhd1a	NA
Crkl	v-crk avian sarcoma virus CT10 oncogene homolog-like
Gm13451	apurinic/apyrimidinic endonuclease 1 pseudogene
Ap3m1	adaptor-related protein complex 3, mu 1 subunit
Mir678	microRNA 678
1700008A04Rik	NA
Isl2	insulin related protein 2 (islet 2)
Dctn5	dynactin 5
Tmem87a	transmembrane protein 87A
Slc35b2	solute carrier family 35, member B2
Prss27	serine protease 27
Gm23988	NA
Serpinb12	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 12
Gm1826	synovial sarcoma translocation, Chromosome 18 pseudogene
Gm15979	NA
Usp51	ubiquitin specific protease 51
RP23-230F2.8	NA
Dkk3	dickkopf WNT signaling pathway inhibitor 3
Ighv8-8	immunoglobulin heavy variable 8-8
mmu-mir-7080	NA
Gm13080	trafficking protein particle complex 2 pseudogene
Adrm1	adhesion regulating molecule 1 26S proteasome ubiquitin receptor
AY512931	cDNA sequence AY512931
Gm26670	predicted gene, 26670
Gm15947	NA
Gm12346	heat shock protein 1, alpha pseudogene
Olfr720	NA
Ttll6	tubulin tyrosine ligase-like family, member 6
Gm18367	high mobility group box 3 pseudogene
Smarcd2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2
Gm11430	predicted gene 11430
Ube4a	ubiquitination factor E4A
Gm6568	DnaJ (Hsp40) homolog, subfamily B, member 9 pseudogene
Krtap5-4	keratin associated protein 5-4
n-R5s119	nuclear encoded rRNA 5S 119
Gm17096	NA
Cela2a	chymotrypsin-like elastase family, member 2A
Vmn1r155	vomeronasal 1 receptor 155
Gm24127	predicted gene, 24127
A330102I10Rik	RIKEN cDNA A330102I10 gene
Hapln4	hyaluronan and proteoglycan link protein 4
Ech1	enoyl coenzyme A hydratase 1, peroxisomal
5031410I06Rik	RIKEN cDNA 5031410I06 gene
Gm21753	predicted gene, 21753
Mstn	myostatin
Stc1	stanniocalcin 1
Gm22097	NA
Gm15659	NA
Slc34a1	solute carrier family 34 (sodium phosphate), member 1
Mbtd1	mbt domain containing 1
Gm15558	predicted gene 15558
Olfr330	NA
Kcnj13	potassium inwardly-rectifying channel, subfamily J, member 13
Gm13177	NA
Stxbp3b	NA
5033428I22Rik	NA
Gm22384	NA
Mrrf	mitochondrial ribosome recycling factor
AC137947.1	NA
Gm13859	RIO kinase 2 pseudogene
Gm5384	predicted gene 5384
Gm15183	predicted gene 15183
Tas2r129	taste receptor, type 2, member 129
Synm	synemin, intermediate filament protein
Gm24182	predicted gene, 24182
Vmn2r-ps2	vomeronasal 2, receptor, pseudogene 2
Gm22707	NA
Gm26328	predicted gene, 26328
Gm21791	predicted gene, 21791
Gm14280	predicted gene 14280
Gm20451	NA
3830408C21Rik	RIKEN cDNA 3830408C21 gene
Tmem253	transmembrane protein 253
Gspt1	G1 to S phase transition 1
Pex3	peroxisomal biogenesis factor 3
Six3os1_7	NA
Scgb2b3	secretoglobin, family 2B, member 3
Gm22854	NA
Gm26293	predicted gene, 26293
Fundc1	FUN14 domain containing 1
P2ry1	purinergic receptor P2Y, G-protein coupled 1
Gm16022	NA
Efna4	ephrin A4
Gm11611	NA
Gm14085	NA
Zcchc16	NA
Tas2r125	taste receptor, type 2, member 125
Gm12044	NA
Olfr1256	NA
Col5a3	collagen, type V, alpha 3
Gm22047	predicted gene, 22047
Gm13935	ribosomal protein S3A pseudogene
Rap1a-ps2	RAS related protein 1a, pseudogene 2
2010012P19Rik	NA
Mir1961	microRNA 1961
Adamts13	ADAM metallopeptidase with thrombospondin type 1 motif 13
Gm15587	predicted gene 15587
Gm20855	predicted gene, 20855
Gm13114	NA
Gm20467	predicted gene 20467
Tmem57	NA
Ccl19-ps1	C-C motif chemokine ligand 19, pseudogene 1
Gm25442	NA
Gm23058	predicted gene, 23058
Tmem176b	transmembrane protein 176B
Prox1	prospero homeobox 1
Gm12425	NA
9230020A06Rik	RIKEN cDNA 9230020A06 gene
Gm22423	predicted gene, 22423
Gm3893	family with sequence similarity 205 pseudogene
Ilkap	integrin-linked kinase-associated serine/threonine phosphatase 2C
Vav2	vav 2 oncogene
Rps8	ribosomal protein S8
Gm5150	predicted gene 5150
Smap1	small ArfGAP 1
Gm1966	NA
Phip	pleckstrin homology domain interacting protein
4930579D09Rik	RIKEN cDNA 4930579D09 gene
Arpc5	actin related protein 2/3 complex, subunit 5
Polr3h	polymerase (RNA) III (DNA directed) polypeptide H
Gm8091	stearoyl-CoA desaturase 5 pseudogene
Cnpy3	canopy FGF signaling regulator 3
Olfr68	NA
Gm23783	NA
Gm10620	predicted gene 10620
Gm25399	NA
Akap8l	A kinase anchor protein 8-like
9430023L20Rik	NA
Gm14012	NA
Gpr34	G protein-coupled receptor 34
D630008O14Rik	RIKEN cDNA D630008O14 gene
Gm12100	predicted gene 12100
Pgap2	post-GPI attachment to proteins 2
Dppa4	developmental pluripotency associated 4
Gm26185	NA
Gm22607	NA
Gm23368	NA
4930505M18Rik	RIKEN cDNA 4930505M18 gene
Ndufa10	NADH:ubiquinone oxidoreductase subunit A10
Prr22	proline rich 22
Olfr198	NA
Olfr1353	NA
Ndst4	N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4
Tbx15	T-box 15
Gm14356	predicted gene 14356
Gm12259	NA
Gm11882	PEST proteolytic signal-containing nuclear protein pseudogene
Coprs	coordinator of PRMT5, differentiation stimulator
Dnajb4	DnaJ heat shock protein family (Hsp40) member B4
Slc25a31	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31
Ccl17	C-C motif chemokine ligand 17
Ifi47	interferon gamma inducible protein 47
Gm24088	predicted gene, 24088
Gm9392	Rap1A-retro1
Gm11795	NA
Gm648	NA
Gm26188	predicted gene, 26188
Lmod1	leiomodin 1 (smooth muscle)
Rpl31-ps25	ribosomal protein L31. pseudogene 25
Fam43a	family with sequence similarity 43, member A
Hmx2	H6 homeobox 2
Gm23893	NA
Csmd2	CUB and Sushi multiple domains 2
Cdh17	cadherin 17
Gm8941	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Gm4945	ribosomal protein L29 pseudogene
1520401A03Rik	NA
Gm10764	predicted gene 10764
Gm16833	predicted gene, 16833
Cdadc1	cytidine and dCMP deaminase domain containing 1
Gm11465	predicted gene 11465
Nprl2	NPR2 like, GATOR1 complex subunit
Rpl22l1	ribosomal protein L22 like 1
Gm4841	predicted gene 4841
Nras	neuroblastoma ras oncogene
Erdr1	NA
Gm24037	predicted gene, 24037
Gm11571	predicted gene 11571
Dpm3	dolichyl-phosphate mannosyltransferase polypeptide 3
C130040N14Rik	RIKEN cDNA C130040N14 gene
Cmip	c-Maf inducing protein
Gm17021	predicted gene 17021
Gm10092	NA
Gm7292	predicted gene 7292
Adck4	NA
Gm3851	High mobility group protein 1 (HMG-1) (Amphoterin) (Heparin-binding protein p30)
Myot	myotilin
Serpinb7	serine (or cysteine) peptidase inhibitor, clade B, member 7
Prkcg	protein kinase C, gamma
Gm23042	predicted gene, 23042
Zswim5	zinc finger SWIM-type containing 5
Gm6877	GTP-binding protein 10 (putative) pseudogene
Bdnf	brain derived neurotrophic factor
F3	coagulation factor III
Vmn2r12	vomeronasal 2, receptor 12
Wdr93	WD repeat domain 93
Sprtn	SprT-like N-terminal domain
Gm23627	predicted gene, 23627
Gpr27	G protein-coupled receptor 27
Igfbp5	insulin-like growth factor binding protein 5
Gm8908	tubulin, beta 6 pseudogene
Sfmbt1	Scm-like with four mbt domains 1
Ighv1-82	immunoglobulin heavy variable 1-82
Klf15	Kruppel-like transcription factor 15
Elovl5	ELOVL fatty acid elongase 5
Nol12	nucleolar protein 12
Ccar1	cell division cycle and apoptosis regulator 1
4931429P17Rik	RIKEN cDNA 4931429P17 gene
Gm24003	predicted gene, 24003
Lpcat3	lysophosphatidylcholine acyltransferase 3
Ublcp1	ubiquitin-like domain containing CTD phosphatase 1
Ssxb6	SSX member B6
Vmn1r238	vomeronasal 1 receptor, 238
Neil2	nei like 2 (E. coli)
Gm13348	predicted gene 13348
Myh2	myosin, heavy polypeptide 2, skeletal muscle, adult
Gm11462	predicted gene 11462
Tmed7	transmembrane p24 trafficking protein 7
Fbxo28	F-box protein 28
Rsph9	radial spoke head 9 homolog (Chlamydomonas)
2810433D01Rik	RIKEN cDNA 2810433D01 gene
Tlcd1	TLC domain containing 1
Cxcr2	C-X-C motif chemokine receptor 2
Gm23284	predicted gene, 23284
Gm22281	predicted gene, 22281
Ighv6-5	immunoglobulin heavy variable V6-5
Abcc4	ATP-binding cassette, sub-family C member 4
Tom1l2	target of myb1-like 2 (chicken)
Gm17800	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Rpl13	ribosomal protein L13
Zfp94	zinc finger protein 94
Myl3	myosin, light polypeptide 3
Gm24312	predicted gene, 24312
Olfr1513	NA
Gm22753	predicted gene, 22753
Serpinb6d	serine (or cysteine) peptidase inhibitor, clade B, member 6d
Guf1	GUF1 homolog, GTPase
Ivl	involucrin
Gm13242	NA
Olfr922	NA
Olfr713	NA
Gm6166	fatty acid-binding protein, epidermal-like
Mirlet7g	microRNA let7g
Gm22683	predicted gene, 22683
Dis3l	DIS3 like exosome 3'-5' exoribonuclease
4930599N23Rik	RIKEN cDNA 4930599N23 gene
Ctrc	chymotrypsin C
Acsbg2	acyl-CoA synthetase bubblegum family member 2
Sumf1	sulfatase modifying factor 1
Sigmar1	sigma non-opioid intracellular receptor 1
2010107E04Rik	NA
Pde4a	phosphodiesterase 4A, cAMP specific
Wdhd1	WD repeat and HMG-box DNA binding protein 1
Uap1l1	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1
Gm14061	predicted gene 14061
Gm23068	NA
Mir467f	microRNA 467f
mmu-mir-7030	NA
Vta1	vesicle (multivesicular body) trafficking 1
Sorbs2	sorbin and SH3 domain containing 2
Olfr653	NA
Gm6570	predicted gene 6570
Rcn1	reticulocalbin 1
4930583P06Rik	RIKEN cDNA 4930583P06 gene
Gm22181	NA
Mir200b	microRNA 200b
Gm22711	predicted gene, 22711
Tdgf1	NA
Dapk2	death-associated protein kinase 2
Slc12a4	solute carrier family 12, member 4
Pdc	phosducin
Tdo2	tryptophan 2,3-dioxygenase
Gm20650	NA
Gm25186	predicted gene, 25186
Gm25629	predicted gene, 25629
Gm15891	NA
Ccdc106	coiled-coil domain containing 106
Slc27a4	solute carrier family 27 (fatty acid transporter), member 4
Gm15564	predicted gene 15564
Appbp2	amyloid beta precursor protein binding protein 2
Clec5a	C-type lectin domain family 5, member a
Gm23076	predicted gene, 23076
Ighv1-73	immunoglobulin heavy variable 1-73
Cmbl	carboxymethylenebutenolidase homolog
Mir421	microRNA 421
Gpr12	G-protein coupled receptor 12
Gm12217	predicted gene 12217
4930519G04Rik	RIKEN cDNA 4930519G04 gene
mt-Nd3	NA
Ntsr2	neurotensin receptor 2
Gm24847	NA
Fgf20	fibroblast growth factor 20
Gm21766	predicted gene, 21766
Fdx1	ferredoxin 1
Gm14636	predicted gene 14636
Dnm3os	dynamin 3, opposite strand
Gm15153	NA
Gm16250	NA
Gm14579	predicted gene 14579
Gm23746	predicted gene, 23746
Gm16553	predicted gene 16553
Gm12887	predicted gene 12887
